tempo,direita,esquerda
929,33.612,33.922
930,33.622,33.857
931,33.664,33.941
932,33.622,33.904
933,33.631,33.951
934,33.636,33.885
935,33.744,33.861
936,33.702,33.932
937,33.608,33.861
938,33.645,33.89
939,33.716,33.899
940,33.692,33.941
941,33.598,33.932
942,33.626,33.871
943,33.688,33.908
944,33.603,33.965
945,33.688,33.946
946,33.551,33.899
947,33.546,33.866
948,33.594,33.89
949,33.641,33.941
950,33.612,33.908
951,33.664,33.941
952,33.716,33.941
953,33.589,33.847
954,33.641,33.861
955,33.594,33.875
956,33.641,33.861
957,33.603,33.899
958,33.603,33.913
959,33.631,33.918
960,33.673,33.918
961,33.556,33.918
962,33.561,33.833
963,33.542,33.843
964,33.542,33.885
965,33.485,33.749
966,33.476,33.786
967,33.4,33.744
968,33.452,33.678
969,33.476,33.782
970,33.49,33.861
971,33.514,33.796
972,33.504,33.786
973,33.443,33.814
974,33.49,33.852
975,33.462,33.838
976,33.509,33.819
977,33.514,33.843
978,33.481,33.8
979,33.523,33.796
980,33.556,33.861
981,33.537,33.857
982,33.438,33.716
983,33.485,33.767
984,33.462,33.767
985,33.353,33.749
986,33.429,33.749
987,33.396,33.758
988,33.429,33.739
989,33.325,33.763
990,33.443,33.702
991,33.518,33.753
992,33.462,33.8
993,33.424,33.706
994,33.518,33.852
995,33.448,33.739
996,33.443,33.735
997,33.415,33.697
998,33.325,33.725
999,33.424,33.772
1000,33.297,33.819
1001,33.377,33.744
1002,33.438,33.777
1003,33.292,33.772
1004,33.32,33.758
1005,33.405,33.758
1006,33.386,33.739
1007,33.372,33.73
1008,33.382,33.753
1009,33.429,33.763
1010,33.396,33.735
1011,33.443,33.744
1012,33.363,33.763
1013,33.386,33.8
1014,33.429,33.814
1015,33.452,33.777
1016,33.4,33.763
1017,33.424,33.791
1018,33.405,33.782
1019,33.363,33.81
1020,33.415,33.772
1021,33.429,33.749
1022,33.424,33.749
1023,33.485,33.735
1024,33.457,33.688
1025,33.481,33.594
1026,33.457,33.626
1027,33.386,33.725
1028,33.443,33.725
1029,33.419,33.8
1030,33.358,33.772
1031,33.372,33.763
1032,33.4,33.777
1033,33.4,33.655
1034,33.372,33.641
1035,33.278,33.688
1036,33.382,33.735
1037,33.429,33.744
1038,33.433,33.763
1039,33.438,33.716
1040,33.499,33.72
1041,33.415,33.692
1042,33.41,33.645
1043,33.358,33.579
1044,33.382,33.655
1045,33.433,33.683
1046,33.415,33.702
1047,33.4,33.688
1048,33.405,33.739
1049,33.396,33.683
1050,33.4,33.664
1051,33.433,33.603
1052,33.518,33.772
1053,33.452,33.805
1054,33.584,33.796
